Sample	Acidobacteria	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Chlorobi	Chloroflexi	Chordata	Cyanobacteria	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia
Stool 44	0	0.00149	1.00E-05	0	0	0	0	0	0	0	0	0.99624	0	0	0.00226	0	0	0	0
Stool 20	0	0.01541	0.83978	0	0	1.00E-05	0.00024	1.00E-05	0	0	0.01149	0.12884	0	0	0.00365	2.00E-05	1.00E-05	0	0.00054
Stool 87	0	0.0065	0.73142	0	0	0	0	0	0	0	0	0.24694	0.0119	0	0.00318	5.00E-05	0	1.00E-05	0
Stool 14	0	0.00101	0.96627	0	0	0	0	0	0	0	0	0.03248	1.00E-05	0	0.00023	0	0	0	0
Stool 1	0	0.01044	0.72662	0	0	2.00E-05	0.00043	0	0	0	0	0.15255	0.00036	0	0.10956	1.00E-05	1.00E-05	0	0
Stool 15	0	0.00333	0.01704	0	0	0	0.0019	0	0	0	0	0.97592	0	0	0.00165	0	0	0	0.00015
Stool 52	0	0.00846	0.79049	0	0	0	7.00E-04	0	0	0	3.00E-05	0.16185	0.01445	0	0.024	1.00E-05	1.00E-05	0	0
Stool 49	0	0.00963	0.47644	5.00E-05	0	0	4.00E-05	0	0	0	0.00072	0.10951	0.03922	0	0.3418	1.00E-05	0.00305	0	0.01952
Stool 11	0	0.08482	0.26783	0	0	2.00E-05	0.01192	0	0	0	0	0.63051	0	0	0.0049	2.00E-05	0	0	0
Stool 97	0	0.09066	0.42694	0	0	1.00E-05	2.00E-05	0	0	0	3.00E-05	0.41479	0.03854	0	0.02654	1.00E-05	0	0	0.00244
Stool 10	0	0.18751	0.62865	0	0	0	0	0	0	0	0	0.09603	0	0	0.0878	1.00E-05	0	0	0
Stool 101	0	0.00023	0.80583	0	0	0	0.00043	0	0	0	0.00011	0.19282	0	0	0.00052	1.00E-05	3.00E-05	0	1.00E-05
Stool 99	0	0.00321	0.56839	0	0	0	0	0	0	0	1.00E-05	0.13677	0	0	0.29106	1.00E-05	0	0	0.00053
Stool 31	0	0.00261	0.69478	0	0	0	0.00131	0	0	0	0	0.08328	0.01136	0	0.20667	0	0	0	0
Stool 62	0	0.00073	0.66612	0	0	0	0.00465	0	0	0	0.00157	0.31213	0.01421	0	0.00059	0	0	0	0
Stool 85	0	0.00068	0.50037	0	0	0	0	0	0	0	0	0.49524	0	0	0.00315	3.00E-05	0	0	0.00053
Stool 19	0	0.01286	0.62462	0	0	0	0	0	0	0	0	0.35522	8.00E-05	0	0.00528	1.00E-05	1.00E-05	1.00E-05	0.00191
Stool 43	0	0.00715	0.74455	1.00E-05	0	1.00E-05	4.00E-05	0	0	0	0	0.13265	6.00E-05	0	0.11553	0	0	0	0
