,Mass_RetentionTime,Stool 75,Stool 103,Stool 41,Stool 99,Stool 85,Stool 31,Stool 62,Stool 43,Stool 104,Stool 70,Stool 56,Stool 73,Stool 105,Stool 58,Stool 9,Stool 88,Stool 50,Stool 25,Stool 91,Stool 74,Stool 39,Stool 24,Stool 28,Stool 106,Stool 60,Stool 6,Stool 93,Stool 32,Stool 94,Stool 19,Stool 81,Stool 64,Stool 59,Stool 53,Stool 27,Stool 78,Stool 55,Stool 107,Stool 48,Stool 108,Stool 109,Stool 2,Stool 4,Stool 98,Stool 8,Stool 5,Stool 51,Stool 68,Stool 76,Stool 71,Stool 84,Stool 44,Stool 33,Stool 12,Stool 10,Stool 1,Stool 34,Stool 29,Stool 16,Stool 17,Stool 37,Stool 47,Stool 110,Stool 26,Stool 95,Stool 38,Stool 80,Stool 36,Stool 111,Stool 112,Stool 92,Stool 30,Stool 22,Stool 79,Stool 63,Stool 3,Stool 113,Stool 45,Stool 114,Stool 65,Stool 115,Stool 86,Stool 116,Stool 117,Stool 96,Stool 118,Stool 46,Stool 90,Stool 67,Stool 119,Stool 89,Stool 18,Stool 57,Stool 14,Stool 13,Stool 66,Stool 54,Stool 61,Stool 72,Stool 49,Stool 69,Stool 40,Stool 120,Stool 77,Stool 100,Stool 7,Stool 42,Stool 121,Stool 102,Stool 35,Stool 83,Stool 87,Stool 122,Stool 15,Stool 52,Stool 82,Stool 21,Stool 11,Stool 97,Stool 123,Stool 124,Stool 101,Stool 23,Stool 20
Metabolite-216,129.0_14.313434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34213,1,1,57266,1,1,1,1,1,89282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-217,129.0_14.616659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,146657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-218,129.0_15.1504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-219,129.0_16.306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-220,129.0_17.3747,1,1,1,1,1,1,1,1,1,1,1,1,1,11558,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-221,129.0_18.288551,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4755,1,1,1,1,1,1,1
Metabolite-222,129.0_19.922667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12831,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-223,129.0_19.9779,1,1,1,1,1,1,1,1,1,1,1,56921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-224,129.0_21.458801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6753,49978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52766,143844,1,1,9595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38216,1,1,1,12374,1,1,1,1,1,1,4586,1,9066,1,1,62772,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-225,129.0_22.9695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-226,"Cholesterol, TMS derivative",161543,13283,1,28567,1,2090122,1,640986,290311,1,49092,1,1,1,1,1209,1,1,1,1,27899,1,1,63248,1,1,1,1,1,113516,1,1,1,1,1,1,1,1,1,1,251994,97691,45488,1,47331,1,1,1,1,1,4326,15825,228794,1,59169,1,1,1,1,1,1,1,1,1,1,1,1,1,27565,1,14097,1,1,1,1,1,118765,1,1,1,1,1,1,56195,58001,7216,1,3343,1,23734,1,1,1,4300,1,876105,1,1,1,1,1,1,1,1,1,1,367110,72480,73991,1,1,1,1,1,1,1,27859,1,1,1129475,32605,1,213490,1
Metabolite-227,129.0_28.1227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-228,129.0_30.5722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-229,129.0_6.781155,1,1,1,27460,1,1,57595,24141,1,1,1,1,1,1,1,1,1,101654,1,1,1,27535,1,1,16752,1,136036,45514,106541,1,1,1,1,1,1,121031,19526,1,1,1,1,1,1,1,1,1,1,1,1,79156,1,1,95112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,250713,1,1,1,1,1,1,1,1,217540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23928,1,1,1,1,1,44088,1,34172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-230,129.0_7.734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-231,129.0_8.7378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-232,130.0_13.9562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,366023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-233,130.0_26.5762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-234,130.0_4.0999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8142,1,1,1,1
Metabolite-235,130.0_4.269355,50035,12720,1,16389,62915,1,9713,1,1,65288,16582,22886,1,1,1,32404,1,1,15142,72420,1,11915,1,11057,14059,1,11602,1,10038,1,13555,1,1,1,1,41741,1,1,1,7716,18203,18029,16701,1,15340,1,1,11250,15331,1,11781,1,1,26458,1,1,1,1,1,13740,1,34527,1,1,1,9453,1,11376,1,10771,1,1,1,1,50856,21554,1,9830,1,1,8161,14355,17264,9264,13056,1,1,9001,19803,10589,1,1,10044,13254,33852,1,10107,1,1,1,1,1,1,1,9365,1,1,1,13345,7049,17449,1,1,9650,1,1,1,1,1,1,1,1,1,16257
Metabolite-236,130.0_4.923134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69144,1,1,1,1,1,1,22709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,96346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31112,1,1,1,1,1,1
Metabolite-237,130.0_6.0663,1,1,1,1,1,1,1,33339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6848,1,1,1,1,1,1
Metabolite-238,130.0_6.546833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57536,1,1,1,1,1,1,1,1,112415,1,1,55139,1,1,1,1,45903,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-239,"2-Aminobutanoic acid, 2TMS derivative",1,895040,647873,1,1,1,877737,1,4507546,1,101502,972058,1,1,1,458286,1,1,1,85201,129001,2413086,142115,1,1,1,1,1,1,1,1,1,909999,1,704953,1,1,1,417017,582146,1,684649,2162726,182316,1,1,1,1,320566,1,1,1,1,1,334793,1,1,167907,1,192243,1508651,1,1017809,1,3281778,311469,1226841,224056,70536,298658,312967,1,2325969,1,92617,1,1,103321,1,1,130026,1,1,349857,1,1,1,162007,1,1,171726,1,1,446187,189997,1011849,1,1,1,1,1,1,1,1,1,141738,1,1,180028,1,513635,1,1,2478981,1,1,1,81512,338691,1,1,618658,1,1
Metabolite-240,130.0_7.91175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-241,131.0_10.7075205,1,1,1,1,1,45982,1,1,1,1,1,1,1,1,1,1,1,84466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62458,1,1,1,1,1,1,1,1,1,1,1,1,363278,80759,1,1,1,29751,1,1,1,1,1,1,1,1,1,1,1,1,123495,1,1,1,1,1,1,1,1,1,1,1,1,885655,198792,1,1,1,1,1,1,1,1,1,1,1,1,33869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-242,131.0_13.484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-243,131.0_15.3835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-244,"D-Psicose, 5TMS derivative",1,1,1,1,1,1,1,1,1,939597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,426892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,541040,1,1,1,1,309273,1,1,1470116,1,50713,1,1,1,1,1,1,1,1,1,1,79203,1,1,1
Metabolite-245,131.0_16.2462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-246,131.0_23.6562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-247,131.0_24.8302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-248,131.0_4.163543,1,1,1,1,1,17959,1,1,1,1,17293,1,1,1,1,1,1,1,1,10871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5824,1,1,1,1,1,1,1,1,16435,1,1,1,1,1,1,1,1,1,1,1,1,1,12252,1,1,1,1,1,20505,1,15526,1,1,1,1,1,1,1,1,1,1,1,1,6886,1,1,1,1,1,1,1,18008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15549
Metabolite-249,131.0_5.0211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66048,1,1,169148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-250,".alpha.-Hydroxyisobutyric acid, 2TMS derivative",68556,985067,273293,153768,1,245480,486706,579876,2889323,1,130427,289188,896548,2871,412077,999082,28798,148381,145972,23578,51620,859766,309897,553103,85893,149004,459401,134376,1,1,55595,25438,199719,102834,865057,1,211978,413253,267238,857771,63621,1192627,372380,91456,201735,30279,323299,887091,123420,125558,1,570170,244619,1,303010,148496,1,1,1,118041,276514,1,1571115,65599,538745,106857,79299,117902,377525,812678,250283,342702,2154010,1,572041,105073,721204,1,455721,556416,441432,128721,1382958,851512,61025,45688,68147,99174,82758,1191806,327454,191022,60542,56212,99566,199621,41070,59968,79401,1,1,1,297525,145461,1,133614,1,735543,521966,1,396900,47862,161588,344422,450695,1,1,967265,1165796,127674,79360,328918,192344,1
Metabolite-251,"3-Hydroxyisovaleric acid, 2TMS derivative",79127,1,1,1,2352,1,1,56104,1,1,193713,1,1,1,1,1,1,32538,1,2455,3267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71966,1,1,46147,1,1,1,1,1,1,1,1,1,1,8701,1,13593,578103,1,1,1,19847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11704,1,1,1,1,1,69270,1,6528,1,1,1,1,6590593,1,1,33012,1,1,1,1,1,1,57899,159131,1,1,1,41728,1,1,1,242619,1,1,106684,62375,1,1,1,1,6629,1,1,1,1,1,1,1
Metabolite-252,131.0_8.2733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-253,131.0_9.76365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49722,28273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,195645,1,1,1,1,1,1,33840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73265,1,1
Metabolite-254,132.0_16.3634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42858,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-255,132.0_7.8393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-256,"L-Serine, 2TMS derivative",283074,1582159,777717,1489382,675952,1,2602634,1,2268069,395783,646232,326260,1,50411,1,30690,23285,1,721902,21847,186370,1920572,201554,1165357,520914,557855,351768,204787,273780,217859,18393,1,445296,3307650,335024,82731,1,1674723,1,645494,5365323,1168084,3174288,92388,4801060,1335433,75608,726178,1,9568,209260,44844,1,235728,5.37E+07,1,20493,387155,102353,414107,1795399,127121,234045,1,4020,1985879,1050492,536878,780060,951692,7927,1,1873965,31465,688785,382794,537963,19728,1886040,642183,20139,419590,172762,204629,205489,1,183132,82466,203678,122425,187619,168894,160698,89060,1773134,1625499,411970,27708,514175,1,33663,209189,183851,269678,26955,1392077,23930,1,210762,31264,2083212,1,4952212,2074351,176387,210918,1,468913,1476891,4775705,6004797,1119634,134956,55987
Metabolite-257,133.0_11.3068,1,1,4567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-258,133.0_12.4364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-259,133.0_12.870663,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16360,1,1,1,28104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15308,1,1,1,1,24913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22442,1,1,1,1,131018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-260,133.0_15.427533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12608,1,1,1,1,1,1
Metabolite-261,133.0_15.583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-262,133.0_20.0327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
