,Mass_RetentionTime,Stool 75,Stool 103,Stool 41,Stool 99,Stool 85,Stool 31,Stool 62,Stool 43,Stool 104,Stool 70,Stool 56,Stool 73,Stool 105,Stool 58,Stool 9,Stool 88,Stool 50,Stool 25,Stool 91,Stool 74,Stool 39,Stool 24,Stool 28,Stool 106,Stool 60,Stool 6,Stool 93,Stool 32,Stool 94,Stool 19,Stool 81,Stool 64,Stool 59,Stool 53,Stool 27,Stool 78,Stool 55,Stool 107,Stool 48,Stool 108,Stool 109,Stool 2,Stool 4,Stool 98,Stool 8,Stool 5,Stool 51,Stool 68,Stool 76,Stool 71,Stool 84,Stool 44,Stool 33,Stool 12,Stool 10,Stool 1,Stool 34,Stool 29,Stool 16,Stool 17,Stool 37,Stool 47,Stool 110,Stool 26,Stool 95,Stool 38,Stool 80,Stool 36,Stool 111,Stool 112,Stool 92,Stool 30,Stool 22,Stool 79,Stool 63,Stool 3,Stool 113,Stool 45,Stool 114,Stool 65,Stool 115,Stool 86,Stool 116,Stool 117,Stool 96,Stool 118,Stool 46,Stool 90,Stool 67,Stool 119,Stool 89,Stool 18,Stool 57,Stool 14,Stool 13,Stool 66,Stool 54,Stool 61,Stool 72,Stool 49,Stool 69,Stool 40,Stool 120,Stool 77,Stool 100,Stool 7,Stool 42,Stool 121,Stool 102,Stool 35,Stool 83,Stool 87,Stool 122,Stool 15,Stool 52,Stool 82,Stool 21,Stool 11,Stool 97,Stool 123,Stool 124,Stool 101,Stool 23,Stool 20
Metabolite-1164,"D-(+)-Talofuranose, pentakis(trimethylsilyl) ether (isomer 2)",1,19174,1017794,1,1,1,1,1,1257762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19137,215107,1,1,83451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,122502,1,1,1,1,1,1,1,1,436333,1,1,1,1,5360221,1,1,1,1,1,1,1,1,1014661,1,1,1,1,1,1900792,1,1,1,1,92338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,295549,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,496072,1,1
Metabolite-1165,"Meglumine, 5TMS derivative",1263894,16156,1,77235,31442,1.42E+08,131174,1,746333,1,644032,115343,1,1095306,1,47903,1,1,8.66E+07,1,26718,2043113,144011,1,279079,232105,26145,1,1,521545,1,1,1,692897,102043,1,193096,445442,159363,220850,179657,981163,530595,1,8372830,198159,1,219549,1,1,267334,15433,21089,1,769147,34938,2.07E+08,1,53743,448447,645665,1,1,1,1,1332865,1,606240,617947,647268,1,157352,551083,1,1,58205,1,1,408886,9.42E+07,289673,44774,1,1,700420,2103560,1,106431,1,31559,61175,573483,1,222927,771895,1,106208,1,1022571,445212,11079,1,103967,1,185934,648412,29727,1217181,1,1,57267,1,334911,516280,1,1,2.26E+08,1,1,5491985,405971,1,44575,1
Metabolite-1166,217.0_15.710401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44804,1,8841,1,1,1,1,1,1,1,1,1,1,1,1,1.36E+08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80249,1,1,8.62E+07,1,1,1,1,1,1,1
Metabolite-1167,"Scyllo-Inositol, 6TMS derivative",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1419700,1,1,1,1,1,1,1,303431,1,1,1,1,1,1,1,1,1,1,1,1,1,692006,1,1,1,1,1,1,255979,202702,1,1,72951,472820,1,841191,1,1.50E+08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,239375,1,1,1,1,30116,1,1,1,1,1,50807,1,1,1,1,1,1,1,1,1,1,971548,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.43E+08,1,1,1,512410,1,1,1
Metabolite-1168,217.0_15.790168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,284843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,643397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-1169,"1,5-Anhydrohexitol, 4TMS derivative 15.79918",442244,1,1,1,1,1,1,1,1,1,1,1,1,4737,1,1,1,1,1,26356,1,604353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11060,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12765,1,1,1,1,1,1,1,1,685546,1,1,1,1,1,7148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,368033,1,1,1,1,1,1,74085,1,1,1,1,94293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-1170,217.0_15.8592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72443,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-1171,217.0_15.981217,1,1,131765,1,90703,1102129,1,1,1,1,1,25692,1,1,1,1,1,1,1,1,1,1,1,1,44694,1,89567,1,1,1,1,1,1,1,23583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,414553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20596,1,1
Metabolite-1172,217.0_16.08725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-1173,217.0_16.144169,1,1,56994,1,102900,1,67489,1,27385,1,1,1,1,1,1,1,1,1,66781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Metabolite-1174,217.0_16.292051,13682,18062,1,1,1,1,1,1,1,1,1,110942,1,20518,1,1,1,1,1,1,1,1,1,1,1,10718,1,1,1,244367,1,1,1,1,1,1,1,15538,1,55208,72354,1,1,109384,1,1,1,1,140760,1,1,788194,1,1,1,1,1,1,1,756114,1,1,1,1,1,1,1,1,1,59252,126172,1,464543,1,1,88783,1,1,1,1,1,1,1,10926,1,480751,1,1,1,1,1,1,1,1,176784,1,1,1,1,1,1,1,1,1,1,16732,1,1,1,1,29063,346978,1,1,1,1,1,1,1,69251,1,1,1,1
Metabolite-1175,"D-(+)-Galacturonic acid, 5TMS derivative 16.345396",410695,23986,1,1,1,49285,118642,82032,660219,1,604971,13004,96345,1,271499,1,1,1,576257,1,1,136599,72933,29169,1,1,1,16544,1,145429,1,403011,1,2001569,1,1,158128,289148,225008,33127,591332,902909,1,19182,837791,183514,623643,20234,1,1,151494,109506,1,1,1270790,1,1,227426,1,286125,179179,1,7657,80234,1,1000089,1,1,1,93321,1,8777,312194,1,20454,1,1,1,498119,116987,132337,21105,1,15005,18750,4295033,1,1,1,397416,38204,142880,1,324535,308402,46520,44392,1,58807,4738393,11266,129281,54048,1,1,323701,55644,1424677,20915,1,1,1,567119,713024,1,1,1,1819,1,4260940,469611,40565,1881,1
Metabolite-1176,"Galactinol, nonakis(trimethylsilyl) ether 16.505194",1,7025,1,1,1,1,1,25979,1,1,1,125264,1,27922,1,1,1,1,1,1,1,1,1,3093,1,1,904536,1,1,338320,1,1,3213,1,23151,1,77676,13376,1,46167,56626,198676,1,142523,4229,1,1,1,203450,1,1,1197228,1,1,1.96E+07,1,1,1,1,530482,1,1,1,1,1,25099,126776,198118,94744,51348,125843,1,442491,1,1,115218,1,1,14480,1,71331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53627,1,1,1,24961,1,63902,1,1,1,1,1,1,221391,6425,1,1,1,1,1,1,1,8334,1,1,1
